kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,ruta_berinternet,latitude,longitude
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,1449,2.62818,96.0898
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,1520,2.439,97.9244
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,2238,3.25638,97.213
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,3432,3.59968,97.6619
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,4585,4.56983,97.7723
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,3814,4.56693,96.8147
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,5581,4.49032,96.041
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,12084,5.35887,95.5144
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,6384,5.1152,95.9574
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,8135,5.081,96.5974
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,9602,4.99764,97.1454
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,1949,3.78325,96.9143
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,799,3.97798,97.323
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,5103,4.20756,98.0029
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,2523,4.15452,96.5184
11,Prov. Nanggroe Aceh Darussalam,1116,Kab. Aceh Jaya,2016,4.8271,95.6491
11,Prov. Nanggroe Aceh Darussalam,1117,Kab. Bener Meriah,2311,4.76923,96.9901
11,Prov. Nanggroe Aceh Darussalam,1118,Kab. Pidie Jaya,2558,5.13828,96.2004
11,Prov. Nanggroe Aceh Darussalam,1171,Kota Banda Aceh,20839,5.54215,95.3431
11,Prov. Nanggroe Aceh Darussalam,1172,Kota Sabang,1590,5.83886,95.2953
11,Prov. Nanggroe Aceh Darussalam,1173,Kota Langsa,7252,4.48157,97.9214
11,Prov. Nanggroe Aceh Darussalam,1174,Kota Lhokseumawe,8595,5.12941,97.0654
11,Prov. Nanggroe Aceh Darussalam,1175,Kota Subulussalam,1397,2.65359,97.9101
12,Prov. Sumatera Utara,1201,Kab. Nias,810,1.12946,97.7191
12,Prov. Sumatera Utara,1202,Kab. Mandailing Natal,7011,0.716284,99.4183
12,Prov. Sumatera Utara,1203,Kab. Tapanuli Selatan,3675,1.52419,99.2215
12,Prov. Sumatera Utara,1204,Kab. Tapanuli Tengah,6480,1.86878,98.6094
12,Prov. Sumatera Utara,1205,Kab. Tapanuli Utara,5314,2.0633,98.8284
12,Prov. Sumatera Utara,1206,Kab. Toba Samosir,5204,2.50027,99.0042
12,Prov. Sumatera Utara,1207,Kab. Labuhan Batu,7536,2.14783,99.9218
12,Prov. Sumatera Utara,1208,Kab. Asahan,14336,2.98305,99.531
12,Prov. Sumatera Utara,1209,Kab. Simalungun,15642,2.95304,99.2713
12,Prov. Sumatera Utara,1210,Kab. Dairi,4028,2.82712,98.2783
12,Prov. Sumatera Utara,1211,Kab. Karo,9326,3.09635,98.2514
12,Prov. Sumatera Utara,1212,Kab. Deli Serdang,54217,3.46231,98.888
12,Prov. Sumatera Utara,1213,Kab. Langkat,15864,3.766,98.2307
12,Prov. Sumatera Utara,1214,Kab. Nias Selatan,2096,0.786682,97.7166
12,Prov. Sumatera Utara,1215,Kab. Humbang Hasundutan,1665,2.23062,98.5734
12,Prov. Sumatera Utara,1216,Kab. Pakpak Bharat,649,2.55478,98.2762
12,Prov. Sumatera Utara,1217,Kab. Samosir,2357,2.50894,98.6264
12,Prov. Sumatera Utara,1218,Kab. Serdang Bedagai,10084,3.34975,99.0295
12,Prov. Sumatera Utara,1219,Kab. Batu Bara,5931,3.23175,99.5003
12,Prov. Sumatera Utara,1220,Kab. Padang Lawas Utara,2270,1.61899,99.6822
12,Prov. Sumatera Utara,1221,Kab. Padang Lawas,3475,1.2403,99.9102
12,Prov. Sumatera Utara,1222,Kab. Labuhan Batu Selatan,4673,1.8468,100.077
